algorithm,domain,problem,horizon,coverage,total_time,plan_length
main-fd-grounding+madagascar-horizon-10, gripper, prob07.pddl, 10, 0, 25.58, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob08.pddl, 10, 0, 17.28, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob09.pddl, 10, 0, 18.56, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob10.pddl, 10, 0, 15.51, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob11.pddl, 10, 0, 14.87, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob12.pddl, 10, 0, 18.79, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob13.pddl, 10, 0, 21.71, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob14.pddl, 10, 0, 18.17, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob15.pddl, 10, 0, 18.61, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob16.pddl, 10, 0, 17.75, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob17.pddl, 10, 0, 26.55, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob18.pddl, 10, 0, 22.33, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob19.pddl, 10, 0, 23.44, NA
main-fd-grounding+madagascar-horizon-10, gripper, prob20.pddl, 10, 0, 20.65, NA
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-10-0.pddl, 10, 1, 0.99, 80
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-10-1.pddl, 10, 1, 0.85, 94
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-11-0.pddl, 10, 1, 0.85, 102
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-11-1.pddl, 10, 1, 1.01, 99
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-12-0.pddl, 10, 1, 0.94, 108
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-12-1.pddl, 10, 1, 0.92, 119
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-13-0.pddl, 10, 1, 1.23, 114
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-13-1.pddl, 10, 1, 1.31, 125
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-14-0.pddl, 10, 1, 1.36, 130
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-14-1.pddl, 10, 1, 1.49, 145
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-15-0.pddl, 10, 1, 1.39, 130
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-15-1.pddl, 10, 1, 1.38, 136
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-4-0.pddl, 10, 1, 0.65, 50
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-4-1.pddl, 10, 1, 0.64, 47
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-4-2.pddl, 10, 1, 0.66, 56
main-fd-grounding+madagascar-horizon-10, logistics00, probLOGISTICS-5-0.pddl, 10, 1, 2.42, 56
